task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
plannerC_path_dev,mono,criticality,0.2,0.10773511515204652,-0.02689264550850336,0.24746757456938243,0.010899525016604707
plannerC_path_dev,mono,criticality,0.3,0.15256718873862452,-0.021438127739474646,0.32692844978898455,0.01621587506685337
plannerC_path_dev,mono,criticality,0.5,0.15608485426171353,-0.0788105639350145,0.3273081634262068,0.016590821627293303
plannerC_path_dev,mono,perception_oracle_dE,0.1,-0.024189499891002778,-0.1866140500101922,0.10524882212189433,-0.0020525434489632663
plannerC_path_dev,mono,perception_oracle_dE,0.2,-0.006793726141413429,-0.2165899229240255,0.15040868009329603,-0.0006873189667991962
plannerC_path_dev,mono,perception_oracle_dE,0.3,0.029545695139905813,-0.20210643892800892,0.2013207087027924,0.003140316768717888
plannerC_path_dev,mono,perception_oracle_dE,0.5,0.10034582727446169,-0.17119292770809885,0.2967761521723591,0.010666119587505329
plannerC_path_dev,mono,best_dE_metric (E6_risk_weighted),0.1,0.1543670629863914,-0.08474497918059355,0.33462414930413054,0.013098456160570203
plannerC_path_dev,mono,best_dE_metric (E6_risk_weighted),0.2,0.10191000179490235,-0.15659032317667754,0.3073806946346828,0.010310200276280754
plannerC_path_dev,mono,best_dE_metric (E6_risk_weighted),0.3,0.09284747689858495,-0.15749210707557534,0.30110504974642194,0.009868459254626377
plannerC_path_dev,mono,best_dE_metric (E6_risk_weighted),0.5,0.11850030587286346,-0.1476573347247054,0.32403959084336237,0.012595824539259122
plannerC_path_dev,mono,multimetric_dE_oracle,0.1,0.013154085400683113,-0.10260029755652786,0.12109103527791525,0.001116159157400265
plannerC_path_dev,mono,multimetric_dE_oracle,0.2,0.06228153576726124,-0.06960051220404091,0.17800974808656841,0.006301001824797601
plannerC_path_dev,mono,multimetric_dE_oracle,0.3,0.0175844173222671,-0.1434129309886504,0.1469982184849041,0.0018689910771693124
plannerC_path_dev,mono,multimetric_dE_oracle,0.5,0.030969273487456116,-0.17578899199062062,0.1752165588263944,0.003291835679941951
plannerC_path_dev,mono,PKL_gain,0.1,0.7844133141991617,0.6915714752589627,0.8368644396467514,0.06655955751850433
plannerC_path_dev,mono,PKL_gain,0.2,0.8077494656834934,0.7525135782476114,0.8510657391276223,0.08171973915785137
plannerC_path_dev,mono,PKL_gain,0.3,0.8307379918137652,0.7804030656838158,0.8734297875369473,0.08829646531417189
plannerC_path_dev,mono,PKL_gain,0.5,0.8417376405844212,0.7865527378115486,0.8869380822514412,0.08947132710582538
plannerC_path_dev,mono,TIP_gain,0.1,0.7654452716503762,0.6991095985121912,0.8261015897391706,0.06495006862255377
plannerC_path_dev,mono,TIP_gain,0.2,0.7747804040247229,0.7111407703516645,0.8283076879189536,0.07838427038505055
plannerC_path_dev,mono,TIP_gain,0.3,0.7888778524917361,0.7306186853295134,0.839848265536045,0.0838472859385854
plannerC_path_dev,mono,TIP_gain,0.5,0.8053463082978249,0.7521609476070841,0.8527635019950273,0.08560316125717662
plannerC_path_dev,mono,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.08485266161813888
plannerC_path_dev,mono,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.10116966043264737
plannerC_path_dev,mono,decision_oracle_dJ,0.3,1.0,1.0,1.0,0.10628677896552273
plannerC_path_dev,mono,decision_oracle_dJ,0.5,1.0,1.0,1.0,0.10629360360278667
plannerC_path_dev,mono,uncertainty [scene-z],0.1,-0.08271003028926138,-0.19974474416245486,0.011900267424635869,-0.007018166212560714
plannerC_path_dev,mono,uncertainty [scene-z],0.2,-0.08932950907028415,-0.22743624825328715,0.005489922912552195,-0.009037436099255742
