setting,pair,geometry,scheme,t_cheap,t_full,system,variant,n,affected,harmed,harmed_share_affected,harmed_share_all,rho,sum_V,all_full_reduction,oracle20_reduction,affected_same_action,note
RT 320->640|mono|S0,RT 320->640,mono,S0,0.25,0.25,brake,memoryless,8008,2354,1038,0.4409515717926933,0.12962037962037962,0.6979992792221921,1384.451210675731,0.1294999142900737,0.42880663978729944,0.0,
RT 320->640|mono|S0,RT 320->640,mono,S0,0.25,0.25,lateral,own,8008,536,285,0.5317164179104478,0.03558941058941059,1.7579291490510132,-74.29738887787545,-0.038322758621540214,0.0505624551708072,202.0,
RT 320->640|mono|S0,RT 320->640,mono,S0,0.25,0.25,lateral,shared,8008,342,222,0.6491228070175439,0.027722277722277724,2.118983892561146,-92.19738887787545,-0.047555618479551226,0.04249893032035087,0.0,
RT 320->640|mono|S0,RT 320->640,mono,S0,0.25,0.25,lateral,memoryless,8008,329,218,0.662613981762918,0.027222777222777224,2.0735334946506585,-85.29738887787546,-0.044913985776692214,0.04183752626303268,0.0,
RT 320->640|mono|S0,RT 320->640,mono,S0,0.25,0.25,traj,own,8008,803,378,0.47073474470734744,0.0472027972027972,0.7605361167099081,414.6389464808268,0.02333851783783379,0.09746153581565828,262.0,
RT 320->640|mono|S0,RT 320->640,mono,S0,0.25,0.25,traj,shared,8008,517,257,0.49709864603481624,0.032092907092907096,0.762449546932958,409.02536122222887,0.023022549545892244,0.09691646237102643,0.0,
RT 320->640|mono|S0,RT 320->640,mono,S0,0.25,0.25,traj,memoryless,8008,517,257,0.49709864603481624,0.032092907092907096,0.7604274798378722,412.71598622222893,0.023246624983095317,0.0970337706818938,0.0,
RT 320->640|oracle|S0,RT 320->640,oracle,S0,0.25,0.25,brake,own,8008,2509,1192,0.475089677162216,0.14885114885114886,0.6861581414202965,1124.1942280818625,0.16878864730293158,0.5378143249176143,851.0,
RT 320->640|oracle|S0,RT 320->640,oracle,S0,0.25,0.25,brake,shared,8008,1658,788,0.4752714113389626,0.0984015984015984,0.6906548895614864,1091.8742280818624,0.1639360613844478,0.529945539310641,0.0,
RT 320->640|oracle|S0,RT 320->640,oracle,S0,0.25,0.25,brake,memoryless,8008,1658,786,0.47406513872135103,0.09815184815184815,0.6831852810102309,1113.3242280818627,0.1705432122356136,0.5383058362295376,0.0,
RT 320->640|oracle|S0,RT 320->640,oracle,S0,0.25,0.25,lateral,own,8008,207,98,0.47342995169082125,0.012237762237762238,1.0623087030065101,-2.8141827920417235,-0.0016487198084381533,0.02646050597885011,93.0,
RT 320->640|oracle|S0,RT 320->640,oracle,S0,0.25,0.25,lateral,shared,8008,118,70,0.5932203389830508,0.008741258741258742,1.2161240773804907,-8.414182792041725,-0.004929541137231487,0.022808847570245185,0.0,
RT 320->640|oracle|S0,RT 320->640,oracle,S0,0.25,0.25,lateral,memoryless,8008,116,72,0.6206896551724138,0.008991008991008992,1.2423798441765295,-8.814182792041727,-0.005243448550371852,0.021633187232156775,0.0,
RT 320->640|oracle|S0,RT 320->640,oracle,S0,0.25,0.25,traj,own,8008,237,57,0.24050632911392406,0.007117882117882118,0.023526238976632096,365.5750435556055,0.12975349989300844,0.1328796584938683,91.0,
RT 320->640|oracle|S0,RT 320->640,oracle,S0,0.25,0.25,traj,shared,8008,136,27,0.19852941176470587,0.0033716283716283715,0.022837913013657576,361.38266422455064,0.12826549927405825,0.1312632786129074,0.0,
RT 320->640|oracle|S0,RT 320->640,oracle,S0,0.25,0.25,traj,memoryless,8008,136,27,0.19852941176470587,0.0033716283716283715,0.020716141252823603,361.1482892245507,0.12862743634076443,0.1313484697943668,0.0,
RT 480->640|mono|S0,RT 480->640,mono,S0,0.25,0.25,brake,own,8008,3014,1287,0.42700729927007297,0.16071428571428573,0.7208072667763104,897.7795663780488,0.08656844561862277,0.3094874913693977,1067.0,
RT 480->640|mono|S0,RT 480->640,mono,S0,0.25,0.25,brake,shared,8008,1947,821,0.4216743708269132,0.10252247752247752,0.7203397317211169,883.7495663780487,0.08521560207270736,0.3047111504152918,0.0,
RT 480->640|mono|S0,RT 480->640,mono,S0,0.25,0.25,brake,memoryless,8008,1947,822,0.4221879815100154,0.10264735264735264,0.7232796295861191,870.5795663780486,0.08554485320961679,0.30913825780758597,0.0,
RT 480->640|mono|S0,RT 480->640,mono,S0,0.25,0.25,lateral,own,8008,288,138,0.4791666666666667,0.017232767232767232,0.9931285140039021,0.4348815441850533,0.00021598719499680386,0.03143238523944544,129.0,
RT 480->640|mono|S0,RT 480->640,mono,S0,0.25,0.25,lateral,shared,8008,161,86,0.5341614906832298,0.01073926073926074,1.087133044113759,-4.765118455814946,-0.0023666319779737962,0.027161130453378635,0.0,
RT 480->640|mono|S0,RT 480->640,mono,S0,0.25,0.25,lateral,memoryless,8008,156,90,0.5769230769230769,0.011238761238761238,1.0669030324139797,-3.5651184558149467,-0.0017997832934052234,0.02690137096131317,0.0,
