track,geometry,system,target,n_test_frames,n_test_units,n_affected,rate_target,oracle_prize,all_cheap_loss,ndg_defined,undefined_reason,variant,signal,policy,available,rate_realised,rate_unit_min,rate_unit_max,gain,gain_share_all_cheap,ndg,tau,tie_p,ndg_lo,ndg_hi,boot_dropped,minus_random,minus_random_lo,minus_random_hi,budget_level,budget_ms,cheap_ms,full_ms,overhead_ms,feasible,note
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V1,R1_gbm_reg,B,True,0.11458333333333333,0.0,0.20833333333333334,11.291030595729234,0.027102329773153404,0.06878391282500006,0.350019107,0.8000000000000043,0.057981521985413,0.07678837415399746,319.0,-0.07575224735662348,-0.0922615212983817,-0.06490622861066049,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V2,R1_gbm_reg,A,True,0.1953125,0.020833333333333332,0.3541666666666667,11.791715175836709,0.028304143769436282,0.07183403692296864,0.215901544,0.20000000000001705,0.060663490543115546,0.080058280791677,319.0,-0.07153613905151314,-0.08842344167520502,-0.060798289177209155,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V2,R1_gbm_reg,B,True,0.1484375,0.020833333333333332,0.20833333333333334,23.291715175836707,0.05590807148433894,0.14189097200794637,0.215901544,0.20000000000001705,0.12226442582048863,0.15516330265043446,319.0,-0.0018344386187931461,-0.02797861746330607,0.013468699885776508,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,TEST,R1_gbm_reg,A_expected,True,0.20052083333333331,,,11.791715175836709,0.028304143769436282,0.07183403692296864,0.212524808,1.0,,,,,,,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,official,R1_gbm_clf,C,True,0.20052083333333334,,,11.323095903796979,0.027179297464114977,0.06897925171245935,,,0.0,0.14905470580340782,319.0,-0.069608070675801,-0.14071291394530586,0.00819813583452167,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V1,R1_gbm_clf,A,True,0.09635416666666667,0.0,0.16666666666666666,-11.03327750657275,-0.026483634326077886,-0.0672137048741315,0.001145466,0.8000000000000043,-0.07556568609175936,-0.05818769123672186,319.0,-0.21212590560011527,-0.2159444888446443,-0.20550535635952571,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V1,R1_gbm_clf,B,True,0.08854166666666667,0.0,0.16666666666666666,-11.03327750657275,-0.026483634326077886,-0.0672137048741315,0.001145466,0.8000000000000043,-0.07556568609175936,-0.05818769123672186,319.0,-0.2132580642535772,-0.21736268688770094,-0.2060175962024277,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V2,R1_gbm_clf,A,True,0.16927083333333334,0.0,0.4166666666666667,11.323095903796979,0.027179297464114977,0.06897925171245935,0.000790668,0.20000000000001705,0.06050207222036223,0.0744032617959312,319.0,-0.07365164763143586,-0.08875858662656917,-0.06597554095695375,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,V2,R1_gbm_clf,B,True,0.1328125,0.0,0.20833333333333334,22.82309590379698,0.05478322517901764,0.1390361867974371,0.000790668,0.20000000000001705,0.12194938631586959,0.14996894788769055,319.0,-0.003949947198715866,-0.028230705551267513,0.008171947091748955,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,,TEST,R1_gbm_clf,A_expected,True,0.20052083333333331,,,11.323095903796979,0.027179297464114977,0.06897925171245935,0.000670548,1.0,,,,,,,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,signal not defined for this track,V1,R2_cnn_clf,A,False,,,,,,,,,,,,,,,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.2,164.15219972227897,416.60737989077694,True,signal not defined for this track,V2,R2_cnn_clf,A,False,,,,,,,,,,,,,,,,,,,,,
nuPlan,n/a,pdm_closed,safety,384.0,9.0,27.0,0.3,164.15219972227897,416.60737989077694,True,,V1+V2,random,A,True,0.3046875,0.189453125,0.4325086805555556,34.56361117712559,0.08296447169559795,0.21055831865550423,,,0.20361257320156984,0.2149478750245904,319.0,,,,,,,,,,
