group,file,item,statistic,old,new,delta,note
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S4 | all,oracle20_reduction,0.263448575925055,0.2380636598145371,-0.025384916110517908,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S4 | all,harm_rate_lo,0.4414982872749155,0.3227159629470056,-0.11878232432790992,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S4 | all,harm_rate_hi,0.5925925925925926,0.4898336291038154,-0.10275896348877717,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S4 | all,rho_lo,0.3226741795783965,0.2918000962036071,-0.03087408337478942,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_brake | S4 | all,rho_hi,0.8615711752655617,0.7326889175998141,-0.12888225766574757,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S0 | all,affected,1531,1612,81.0,
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S0 | all,harm_rate,0.5160026126714565,0.4925558312655086,-0.023446781405947914,
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S0 | all,rho,0.722123427170749,0.7133887667149577,-0.008734660455791299,
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S0 | all,all_full_reduction,0.0147547676346401,0.0158561230160905,0.0011013553814504008,
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S0 | all,oracle20_reduction,0.0516984820235777,0.0531310827234918,0.001432600699914098,
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S0 | all,harm_rate_lo,0.4853027181377864,0.4655330080892737,-0.01976971004851269,
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S0 | all,harm_rate_hi,0.5488501946320613,0.5210674861899215,-0.027782708442139814,
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S0 | all,rho_lo,0.5334667740750302,0.5323159684420405,-0.0011508056329896377,
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S0 | all,rho_hi,1.0068120219820615,1.007065496848076,0.0002534748660143471,
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S1 | all,affected,1434,1525,91.0,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S1 | all,harm_rate,0.5153417015341701,0.4957377049180327,-0.01960399661613743,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S1 | all,rho,0.7648464429358314,0.8295297712983859,0.06468332836255453,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S1 | all,all_full_reduction,0.0103014768121691,0.0074617273307696,-0.0028397494813995,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S1 | all,oracle20_reduction,0.0429868418821547,0.042275895000227,-0.0007109468819277015,outside Task 22 tolerance
1 calibration cells,calibration_cells.csv,nuScenes mono Y8 320->640 q_plan | S1 | all,harm_rate_lo,0.4867686394368806,0.4644804235531094,-0.022288215883771167,outside Task 22 tolerance
