geometry,target,signal,deployable,quota,eta,n_escalated,boot_dropped,n_frames,lo,hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,minus_unc_sum,minus_unc_sum_lo,minus_unc_sum_hi
mono,plan,unc_sum (eta-table uncertainty),True,0.1,0.006994452790083304,266.0,0,2655,-0.08424762535809667,0.11974431648507856,-0.013227810331288831,-0.1077680830128752,0.08192634554755018,0.6175,,,
mono,plan,feat_ent_mean (gate uncertainty),True,0.1,0.13944787222399002,266.0,0,2655,0.018407456213161904,0.297427818326863,0.11698092082165341,-0.006584839864845964,0.26374351570827753,0.03,0.13020873115294224,-0.029383902841231536,0.31300714969991367
mono,plan,crit_sum (GT geometry),False,0.1,-0.04059625069646497,266.0,0,2655,-0.18292373218013933,0.09409448607941803,-0.0651270622209859,-0.19570726602058183,0.058863114376186014,0.8275,-0.05189925188969706,-0.22721208118749286,0.06966420728373524
mono,plan,dE_E6_risk_weighted (needs FULL),False,0.1,0.10559477419143923,266.0,0,2655,-0.10578905395196232,0.2873697058113469,0.063496957699837,-0.11546257618524364,0.23405827538665738,0.245,0.07672476803112584,-0.15790474248761946,0.29237864670517394
mono,plan,linear (OOF by scene),True,0.1,0.09732447940853245,266.0,0,2655,-0.035394297104350915,0.18466321573334074,0.05495194092247759,-0.04475308853266488,0.14514189298162014,0.115,0.06817975125376644,-0.09081967165968362,0.1903770929627174
mono,plan,linear (OOF by scene) [escalate only pred>0],True,0.1,0.09732447940853245,266.0,0,2655,-0.035394297104350915,0.18466321573334074,0.05495194092247759,-0.04475308853266488,0.14514189298162014,0.115,0.06817975125376644,-0.09081967165968362,0.1903770929627174
mono,plan,gbm (OOF by scene),True,0.1,0.01137264807747686,266.0,0,2655,-0.047600761922132084,0.08342996566837944,-0.02032015860805305,-0.08016089891682988,0.0456346244557706,0.7325,-0.007092348276764221,-0.13856448185841824,0.11303384147946043
mono,plan,gbm (OOF by scene) [escalate only pred>0],True,0.1,0.01137264807747686,266.0,0,2655,-0.047600761922132084,0.08342996566837944,-0.02032015860805305,-0.08016089891682988,0.0456346244557706,0.7325,-0.007092348276764221,-0.13856448185841824,0.11303384147946043
mono,plan,random,True,0.2,0.05968680555075453,531.0,0,2655,,,,,,,,,
mono,plan,unc_sum (eta-table uncertainty),True,0.2,0.06681905993184012,531.0,0,2655,-0.039406065879962274,0.16882983579848534,0.005608182819585654,-0.09638830744728315,0.11098894256326247,0.4925,,,
mono,plan,feat_ent_mean (gate uncertainty),True,0.2,0.19038134418959834,531.0,0,2655,0.0637012599162647,0.3209809361846934,0.12862648703142446,0.012022119633515606,0.26251507477490366,0.0125,0.12301830421183879,-0.027083046437976176,0.29602569816248486
mono,plan,crit_sum (GT geometry),False,0.2,0.026294829691570803,531.0,0,2655,-0.11288970056188152,0.1641658827423552,-0.029474976563461857,-0.1538536824131015,0.09821357147123545,0.685,-0.035083159383047506,-0.19518122907195534,0.09839427628073939
mono,plan,dE_E6_risk_weighted (needs FULL),False,0.2,0.2265042244281229,531.0,0,2655,-0.03061252023386893,0.4102133331719287,0.1422520968737065,-0.04821582569149895,0.3272518033758419,0.0575,0.13664391405412082,-0.12879109625728627,0.3817276467116827
mono,plan,linear (OOF by scene),True,0.2,0.07717834689279249,531.0,0,2655,-0.035873581636497405,0.19440502023073206,0.02779320279224993,-0.06860059849789041,0.12641714834848616,0.2825,0.02218501997266427,-0.12465121263186006,0.15897939666464378
mono,plan,linear (OOF by scene) [escalate only pred>0],True,0.2,0.07717834689279249,531.0,0,2655,-0.035873581636497405,0.19440502023073206,0.02779320279224993,-0.06860059849789041,0.12641714834848616,0.2825,0.02218501997266427,-0.12465121263186006,0.15897939666464378
mono,plan,gbm (OOF by scene),True,0.2,0.06314856061189011,531.0,0,2655,-0.03676618093984356,0.12705402057234375,-0.004746130712010511,-0.0680562559543984,0.06822747993245186,0.555,-0.010354313531596167,-0.14785340042073272,0.11403193473083967
mono,plan,gbm (OOF by scene) [escalate only pred>0],True,0.2,0.06314856061189011,531.0,0,2655,-0.03676618093984356,0.12705402057234375,-0.004746130712010511,-0.0680562559543984,0.06822747993245186,0.555,-0.010354313531596167,-0.14785340042073272,0.11403193473083967
mono,plan,random,True,0.3,0.08593903007319276,796.0,0,2655,,,,,,,,,
mono,plan,unc_sum (eta-table uncertainty),True,0.3,0.07294686799300579,796.0,0,2655,-0.06764335736163751,0.18551630085065238,-0.022794228495061603,-0.13603616687879186,0.1045036636494951,0.625,,,
mono,plan,feat_ent_mean (gate uncertainty),True,0.3,0.1949440253050489,796.0,0,2655,0.05987962227698496,0.33389857595029065,0.11140605207162857,0.0019327283275210026,0.23432607381426188,0.025,0.13420028056669014,-0.04565086475001099,0.32098793171016576
mono,plan,crit_sum (GT geometry),False,0.3,0.09276937106110408,796.0,0,2655,-0.08175580303648819,0.24322082692818753,0.007721746655249906,-0.1336260564297552,0.14350693990514357,0.45,0.03051597515031151,-0.12979513816866328,0.1868756282395676
mono,plan,dE_E6_risk_weighted (needs FULL),False,0.3,0.20347255184815946,796.0,0,2655,-0.03282372524493802,0.4246014354967181,0.11458298871175321,-0.057554317324612685,0.28184091317930154,0.0975,0.1373772172068148,-0.13331664443984292,0.3987914342506794
mono,plan,linear (OOF by scene),True,0.3,0.10851417960638869,796.0,0,2655,-0.047244187784601537,0.2500651476049569,0.03189327012426167,-0.07286117526211386,0.14745816802921774,0.28,0.054687498619323274,-0.12888466765190537,0.2254556411219835
mono,plan,linear (OOF by scene) [escalate only pred>0],True,0.3,0.10851417960638869,796.0,0,2655,-0.047244187784601537,0.2500651476049569,0.03189327012426167,-0.07286117526211386,0.14745816802921774,0.28,0.054687498619323274,-0.12888466765190537,0.2254556411219835
mono,plan,gbm (OOF by scene),True,0.3,0.05763346786044161,796.0,0,2655,-0.0228416568921726,0.13951308879061902,-0.01725830528754862,-0.08390370774252855,0.056307425538694035,0.7025,0.0055359232075129884,-0.12676684618412754,0.13488487046779968
mono,plan,gbm (OOF by scene) [escalate only pred>0],True,0.3,0.05763346786044161,796.0,0,2655,-0.0228416568921726,0.13951308879061902,-0.01725830528754862,-0.08390370774252855,0.056307425538694035,0.7025,0.0055359232075129884,-0.12676684618412754,0.13488487046779968
