status,track,geometry,system,target,architecture,kind,label,quota,k,ndg,minus_random,boot_dropped,minus_random_lo,minus_random_hi,minus_V,minus_V_lo,minus_V_hi,minus_rankV,minus_rankV_lo,minus_rankV_hi,minus_secdfV,minus_secdfV_lo,minus_secdfV_hi,pooled_against,n_cells,note
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_mlp_clf,binary,G,0.2,707.0,0.09604943795064433,-0.06552532534013536,85.0,-0.19236174601002634,0.20977417456651679,-0.3261230332329873,-0.8077526315312856,0.11950096706823765,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_mlp_clf,binary,G,0.3,1061.0,0.28474776612685143,-0.03153336449673605,85.0,-0.2637735202695678,0.19380381536938152,-0.39686556168630543,-0.9210895694630007,0.03786212411133966,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_mlp_clf,binary,G,0.5,1768.0,0.6105374418131218,0.11220042243358913,85.0,-0.06987479689413352,0.26658295457048203,-0.2565372831118441,-0.5365492152627068,0.04239453731523814,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_clf,binary,V,0.1,354.0,0.31836275824555543,0.2508375483031301,85.0,0.06097632434408187,0.5421130051158867,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_clf,binary,V,0.2,707.0,0.4836554181685283,0.3453307316487527,85.0,0.08847526370552697,0.6824673407897806,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_clf,binary,V,0.3,1061.0,0.6802312964019129,0.4150582983799766,85.0,0.1435601558514678,0.6580466101249283,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_clf,binary,V,0.5,1768.0,0.8874449063956432,0.3846745667214344,85.0,0.2828407164650584,0.46993750959508823,,,,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_clf,binary,Q,0.1,354.0,0.1847179696179127,0.06471385851011704,85.0,0.011406834804680452,0.150697896096613,-0.13364478862764273,-0.5286127628316811,0.051497565966571006,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_clf,binary,Q,0.2,707.0,0.3447766779135434,0.1355645934609934,85.0,0.06908511680295554,0.24482039369934888,-0.13887874025498492,-0.5727537583699682,0.07830690291494924,,,,,,,,,
post-hoc (decided after Task 24's test results were seen),KITTI,oracle,traj,JB,R1_gbm_clf,binary,Q,0.3,1061.0,0.5083576565609577,0.1899318239429635,85.0,0.06491021551561044,0.3171777618730168,-0.17187363984095527,-0.535579211656141,0.04415958514052565,,,,,,,,,
